year,month,day,wind_installed_capacity,pv_installed_capacity,csp_installed_capacity,other_re_installed_capacity,total_re_installed_capacity,installed_eskom_capacity
2018,4,9,1474.19,300,21.78,3873.69,44546,5082
2018,4,9,1474.19,300,21.78,3873.69,44546,5013.85
2018,4,9,1474.19,300,21.78,3873.69,44546,4947
2018,4,9,1474.19,300,21.78,3873.69,44546,4768.5
2018,4,9,1474.19,300,21.78,3873.69,44546,4567.367
2018,4,9,1474.19,300,21.78,3873.69,44546,4547
2018,4,9,1474.19,300,21.78,3873.69,44546,4547
2018,4,9,1474.19,300,21.78,3873.69,44546,4521.5
2018,4,9,1474.19,300,21.78,3873.69,44546,4241
2018,4,9,1474.19,300,21.78,3873.69,44546,4241
2018,4,9,1474.19,300,21.78,3873.69,44546,4241
2018,4,9,1474.19,300,21.78,3873.69,44546,4241
2018,4,9,1474.19,300,21.78,3873.69,44546,4241
2018,4,9,1474.19,300,21.78,3873.69,44546,4241
2018,4,9,1474.19,300,21.78,3873.69,44546,4241
2018,4,9,1474.19,300,21.78,3873.69,44546,4241
2018,4,9,1474.19,300,21.78,3873.69,44546,4241
2018,4,9,1474.19,300,21.78,3873.69,44546,4241
2018,4,9,1474.19,300,21.78,3873.69,44546,4241
2018,4,9,1474.19,300,21.78,3873.69,44546,4241
2018,4,9,1474.19,300,21.78,3873.69,44546,4241
2018,4,9,1474.19,300,21.78,3873.69,44546,4241
2018,4,9,1474.19,300,21.78,3873.69,44546,4241
2018,4,10,1474.19,300,21.78,3873.69,44546,4241
2018,4,10,1474.19,300,21.78,3873.69,44546,4241
2018,4,10,1474.19,300,21.78,3873.69,44546,4241
2018,4,10,1474.19,300,21.78,3873.69,44546,4241
2018,4,10,1474.19,300,21.78,3873.69,44546,4241
2018,4,10,1474.19,300,21.78,3873.69,44546,4241
2018,4,10,1474.19,300,21.78,3873.69,44546,4385.55
2018,4,10,1474.19,300,21.78,3873.69,44546,4388
2018,4,10,1474.19,300,21.78,3873.69,44546,4445
2018,4,10,1474.19,300,21.78,3873.69,44546,4753.933
2018,4,10,1474.19,300,21.78,3873.69,44546,4776
2018,4,10,1474.19,300,21.78,3873.69,44546,4776
2018,4,10,1474.19,300,21.78,3873.69,44546,4776
2018,4,10,1474.19,300,21.78,3873.69,44546,4720.833
2018,4,10,1474.19,300,21.78,3873.69,44546,4445
2018,4,10,1474.19,300,21.78,3873.69,44546,4445
2018,4,10,1474.19,300,21.78,3873.69,44546,4445
2018,4,10,1474.19,300,21.78,3873.69,44546,4445
2018,4,10,1474.19,300,21.78,3873.69,44546,4445
2018,4,10,1474.19,300,21.78,3873.69,44546,4445
2018,4,10,1474.19,300,21.78,3873.69,44546,4445
2018,4,10,1474.19,300,21.78,3873.69,44546,4445
2018,4,10,1474.19,300,21.78,3873.69,44546,4445
2018,4,10,1474.19,300,21.78,3873.69,44546,4445
2018,4,11,1474.19,300,21.78,3873.69,44546,4445
2018,4,11,1474.19,300,21.78,3873.69,44546,4445
2018,4,11,1474.19,300,21.78,3873.69,44546,4445
2018,4,11,1474.19,300,21.78,3873.69,44546,4445
2018,4,11,1474.19,300,21.78,3873.69,44546,4445
2018,4,11,1474.19,300,21.78,3873.69,44546,4445
2018,4,11,1474.19,300,21.78,3873.69,44546,4445
2018,4,11,1474.19,300,21.78,3873.69,44546,4445
2018,4,11,1474.19,300,21.78,3873.69,44546,4445
2018,4,11,1474.19,300,21.78,3873.69,44546,4445
2018,4,11,1474.19,300,21.78,3873.69,44546,4445
2018,4,11,1474.19,300,21.78,3873.69,44546,4445
2018,4,11,1474.19,300,21.78,3873.69,44546,4445
2018,4,11,1474.19,300,21.78,3873.69,44546,4445
2018,4,11,1474.19,300,21.78,3873.69,44546,4445
2018,4,11,1474.19,300,21.78,3873.69,44546,4445
2018,4,11,1474.19,300,21.78,3873.69,44546,4445
2018,4,11,1474.19,300,21.78,3873.69,44546,4445
2018,4,11,1474.19,300,21.78,3873.69,44546,4445
2018,4,11,1474.19,300,21.78,3873.69,44546,4445
2018,4,11,1474.19,300,21.78,3873.69,44546,4445
2018,4,11,1474.19,300,21.78,3873.69,44546,4445
2018,4,11,1474.19,300,21.78,3873.69,44546,4445
2018,4,11,1474.19,300,21.78,3873.69,44546,4445
2018,4,12,1474.19,300,21.78,3873.69,44546,4445
2018,4,12,1474.19,300,21.78,3873.69,44546,4445
2018,4,12,1474.19,300,21.78,3873.69,44546,4445
2018,4,12,1474.19,300,21.78,3873.69,44546,4445
2018,4,12,1474.19,300,21.78,3873.69,44546,4445
2018,4,12,1474.19,300,21.78,3873.69,44546,4445
2018,4,12,1474.19,300,21.78,3873.69,44546,4445
2018,4,12,1474.19,300,21.78,3873.69,44546,4445
2018,4,12,1474.19,300,21.78,3873.69,44546,4310.25
2018,4,12,1474.19,300,21.78,3873.69,44546,4298
2018,4,12,1474.19,300,21.78,3873.69,44546,4298
2018,4,12,1474.19,300,21.78,3873.69,44546,4298
2018,4,12,1474.19,300,21.78,3873.69,44546,4291.35
2018,4,12,1474.19,300,21.78,3873.69,44546,4241
2018,4,12,1474.19,300,21.78,3873.69,44546,4241
2018,4,12,1474.19,300,21.78,3873.69,44546,4241
2018,4,12,1474.19,300,21.78,3873.69,44546,4241
2018,4,12,1474.19,300,21.78,3873.69,44546,4241
2018,4,12,1474.19,300,21.78,3873.69,44546,4241
2018,4,12,1474.19,300,21.78,3873.69,44546,4241
2018,4,12,1474.19,300,21.78,3873.69,44546,4241
2018,4,12,1474.19,300,21.78,3873.69,44546,4241
2018,4,12,1474.19,300,21.78,3873.69,44546,4241
2018,4,12,1474.19,300,21.78,3873.69,44546,4241
2018,4,13,1474.19,300,21.78,3873.69,44546,4241
2018,4,13,1474.19,300,21.78,3873.69,44546,4241
2018,4,13,1474.19,300,21.78,3873.69,44546,4241
2018,4,13,1474.19,300,21.78,3873.69,44546,4241
2018,4,13,1474.19,300,21.78,3873.69,44546,4241
2018,4,13,1474.19,300,21.78,3873.69,44546,4241
2018,4,13,1474.19,300,21.78,3873.69,44546,4478.5
2018,4,13,1474.19,300,21.78,3873.69,44546,4491
2018,4,13,1474.19,300,21.78,3873.69,44546,4491
2018,4,13,1474.19,300,21.78,3873.69,44546,4491
2018,4,13,1474.19,300,21.78,3873.69,44546,4491
2018,4,13,1474.19,300,21.78,3873.69,44546,4491
2018,4,13,1474.19,300,21.78,3873.69,44546,4491
2018,4,13,1474.19,300,21.78,3873.69,44546,4491
2018,4,13,1474.19,300,21.78,3873.69,44546,4491
2018,4,13,1474.19,300,21.78,3873.69,44546,4491
2018,4,13,1474.19,300,21.78,3873.69,44546,4491
2018,4,13,1474.19,300,21.78,3873.69,44546,4491
2018,4,13,1474.19,300,21.78,3873.69,44546,4491
2018,4,13,1474.19,300,21.78,3873.69,44546,4491
2018,4,13,1474.19,300,21.78,3873.69,44546,4491
2018,4,13,1474.19,300,21.78,3873.69,44546,4491
2018,4,13,1474.19,300,21.78,3873.69,44546,4491
2018,4,13,1474.19,300,21.78,3873.69,44546,4491
2018,4,14,1474.19,300,21.78,3873.69,44546,4491
2018,4,14,1474.19,300,21.78,3873.69,44546,4491
2018,4,14,1474.19,300,21.78,3873.69,44546,4491
2018,4,14,1474.19,300,21.78,3873.69,44546,4491
2018,4,14,1474.19,300,21.78,3873.69,44546,4491
2018,4,14,1474.19,300,21.78,3873.69,44546,4307.667
2018,4,14,1474.19,300,21.78,3873.69,44546,4241
2018,4,14,1474.19,300,21.78,3873.69,44546,4241
2018,4,14,1474.19,300,21.78,3873.69,44546,4241
2018,4,14,1474.19,300,21.78,3873.69,44546,4241
2018,4,14,1474.19,300,21.78,3873.69,44546,4241
2018,4,14,1474.19,300,21.78,3873.69,44546,4241
2018,4,14,1474.19,300,21.78,3873.69,44546,4241
2018,4,14,1474.19,300,21.78,3873.69,44546,4241
2018,4,14,1474.19,300,21.78,3873.69,44546,4241
2018,4,14,1474.19,300,21.78,3873.69,44546,4241
2018,4,14,1474.19,300,21.78,3873.69,44546,4241
2018,4,14,1474.19,300,21.78,3873.69,44546,4241
2018,4,14,1474.19,300,21.78,3873.69,44546,4241
2018,4,14,1474.19,300,21.78,3873.69,44546,4241
2018,4,14,1474.19,300,21.78,3873.69,44546,4241
2018,4,14,1474.19,300,21.78,3873.69,44546,4241
2018,4,14,1474.19,300,21.78,3873.69,44546,4241
2018,4,14,1474.19,300,21.78,3873.69,44546,4241
2018,4,15,1474.19,300,21.78,3873.69,44546,4580.333
2018,4,15,1474.19,300,21.78,3873.69,44546,4684
2018,4,15,1474.19,300,21.78,3873.69,44546,4684
2018,4,15,1474.19,300,21.78,3873.69,44546,4684
2018,4,15,1474.19,300,21.78,3873.69,44546,4684
2018,4,15,1474.19,300,21.78,3873.69,44546,4684
2018,4,15,1474.19,300,21.78,3873.69,44546,4684
2018,4,15,1474.19,300,21.78,3873.69,44546,4684
