year,month,day,date_time_hour_beginning,residual_demand,rsa_contracted_demand
2018,4,8,2018-04-08,23861.8,25525.209
2018,4,8,2018-04-08,24321.54,25910.587
2018,4,8,2018-04-08,25393.8,26778.147
2018,4,8,2018-04-08,27466.54,28722.942
2018,4,8,2018-04-08,27072.67,28181.107
2018,4,8,2018-04-08,25364.8,26328.18
2018,4,8,2018-04-08,23261.67,24241.398
2018,4,8,2018-04-08,21802.54,22713.594
2018,4,8,2018-04-08,20866.8,21684.001
2018,4,9,2018-04-09,20430.54,21226.594
2018,4,9,2018-04-09,20181.8,20928.148
2018,4,9,2018-04-09,20086.54,20836.445
2018,4,9,2018-04-09,20272.67,21058.664
2018,4,9,2018-04-09,21276.67,22062.869
2018,4,9,2018-04-09,23193.67,24117.722
2018,4,9,2018-04-09,24779.54,25787.142
2018,4,9,2018-04-09,25945.67,27030.622
2018,4,9,2018-04-09,27506.8,28653.829
2018,4,9,2018-04-09,27629.604,29130.835
2018,4,9,2018-04-09,27682.805,29430.477
2018,4,9,2018-04-09,27583.738,29434.236
2018,4,9,2018-04-09,27363.67,29330.185
2018,4,9,2018-04-09,27138.94,29226.067
2018,4,9,2018-04-09,26950.54,29175.785
2018,4,9,2018-04-09,27010.8,29324.884
2018,4,9,2018-04-09,27487.67,29722.188
2018,4,9,2018-04-09,28514.262,30459.569
2018,4,9,2018-04-09,30442.043,32080.727
2018,4,9,2018-04-09,29156.619,30787.141
2018,4,9,2018-04-09,27156.19,28734.867
2018,4,9,2018-04-09,25021.67,26255.948
2018,4,9,2018-04-09,23450.8,24163.665
2018,4,9,2018-04-09,22301.54,22795.804
2018,4,10,2018-04-10,21695.67,22267.713
2018,4,10,2018-04-10,21470.67,22053.654
2018,4,10,2018-04-10,21394.67,22039.596
2018,4,10,2018-04-10,21602.67,22225.041
2018,4,10,2018-04-10,23016.67,23631.771
2018,4,10,2018-04-10,26098.67,26599.302
2018,4,10,2018-04-10,28117.54,28611.554
2018,4,10,2018-04-10,27230.8,27786.118
2018,4,10,2018-04-10,27351.54,28191.972
2018,4,10,2018-04-10,26876.036,28123.073
2018,4,10,2018-04-10,26807.003,28271.248
2018,4,10,2018-04-10,26842.06,28463.128
2018,4,10,2018-04-10,26476.166,28221.773
2018,4,10,2018-04-10,26381.999,28227.965
2018,4,10,2018-04-10,26551.082,28513.95
2018,4,10,2018-04-10,27333.788,29049.298
2018,4,10,2018-04-10,27970.579,29451.99
2018,4,10,2018-04-10,29081.56,30392.705
2018,4,10,2018-04-10,30743.154,31864.695
2018,4,10,2018-04-10,29479.011,30531.128
2018,4,10,2018-04-10,26920.891,27943.737
2018,4,10,2018-04-10,24381.4,25319.361
2018,4,10,2018-04-10,22688.27,23442.765
2018,4,10,2018-04-10,21316.27,22018.505
2018,4,11,2018-04-11,20984.4,21724.943
2018,4,11,2018-04-11,20953.27,21720.161
2018,4,11,2018-04-11,20729.27,21434.048
2018,4,11,2018-04-11,21183.4,21814.895
2018,4,11,2018-04-11,22423.27,23047.863
2018,4,11,2018-04-11,25448.603,26043.327
2018,4,11,2018-04-11,27724.27,28307.54
2018,4,11,2018-04-11,26687.4,27506.087
2018,4,11,2018-04-11,26767.27,28055.06
2018,4,11,2018-04-11,26260.296,27909.169
2018,4,11,2018-04-11,26394,28172.052
2018,4,11,2018-04-11,26299.27,28218.245
2018,4,11,2018-04-11,25856.53,27812.125
2018,4,11,2018-04-11,25825.77,27707.09
2018,4,11,2018-04-11,26101,27858.843
2018,4,11,2018-04-11,26886.4,28584.242
2018,4,11,2018-04-11,27650.27,29258.562
2018,4,11,2018-04-11,29094.731,30433.223
2018,4,11,2018-04-11,30503.27,31706.443
2018,4,11,2018-04-11,28951.7,30247.443
2018,4,11,2018-04-11,26712.77,28066.786
2018,4,11,2018-04-11,24489.4,25783.479
2018,4,11,2018-04-11,22477.27,23606.997
2018,4,11,2018-04-11,21087.4,22218.094
2018,4,12,2018-04-12,20449.27,21625.899
2018,4,12,2018-04-12,20208.4,21328.876
2018,4,12,2018-04-12,20233.27,21287.62
2018,4,12,2018-04-12,20424.4,21469.289
2018,4,12,2018-04-12,22017.27,23073.722
2018,4,12,2018-04-12,25220.4,26363.263
2018,4,12,2018-04-12,27477.4,28681.58
2018,4,12,2018-04-12,26717.27,28070.888
2018,4,12,2018-04-12,27212.535,28697.373
2018,4,12,2018-04-12,27100.603,28665.298
2018,4,12,2018-04-12,26989.846,28833.505
2018,4,12,2018-04-12,26773.4,28826.042
2018,4,12,2018-04-12,26607.27,28590.608
2018,4,12,2018-04-12,26622.4,28479.966
2018,4,12,2018-04-12,26913.2,28648.716
2018,4,12,2018-04-12,27339.27,29057.495
2018,4,12,2018-04-12,28237.4,29708.834
2018,4,12,2018-04-12,29498.721,30709.486
2018,4,12,2018-04-12,31226.42,32252.125
2018,4,12,2018-04-12,30098.707,30987.135
2018,4,12,2018-04-12,27512.489,28476.237
2018,4,12,2018-04-12,24934.4,26019.201
2018,4,12,2018-04-12,22820.4,23750.671
2018,4,12,2018-04-12,21708.27,22542.737
2018,4,13,2018-04-13,21132.27,21923.022
2018,4,13,2018-04-13,20838.4,21645.875
2018,4,13,2018-04-13,20644.27,21560.198
2018,4,13,2018-04-13,21013.27,21914.792
2018,4,13,2018-04-13,22602.53,23486.805
2018,4,13,2018-04-13,25801.27,26694.069
2018,4,13,2018-04-13,28108.4,29073.435
2018,4,13,2018-04-13,27533.27,28558.996
2018,4,13,2018-04-13,27932.27,29264.86
2018,4,13,2018-04-13,27585.4,29191.828
2018,4,13,2018-04-13,27545.27,29330.321
2018,4,13,2018-04-13,27492.27,29299.892
2018,4,13,2018-04-13,27164.4,29015.967
2018,4,13,2018-04-13,26545.9,28444.902
2018,4,13,2018-04-13,26091.4,28004.451
2018,4,13,2018-04-13,26219.27,27978.792
2018,4,13,2018-04-13,26458.27,28154.71
2018,4,13,2018-04-13,27384.4,28779.48
2018,4,13,2018-04-13,29365.27,30493.021
2018,4,13,2018-04-13,28758.27,29687.087
2018,4,13,2018-04-13,27427.67,28154.481
2018,4,13,2018-04-13,25529.27,26184.554
2018,4,13,2018-04-13,23898.27,24447.615
2018,4,13,2018-04-13,22492.4,23015.857
2018,4,14,2018-04-14,21888.27,22381.708
2018,4,14,2018-04-14,21430.4,21833.961
2018,4,14,2018-04-14,21340.27,21683.362
2018,4,14,2018-04-14,21616.27,21904.255
2018,4,14,2018-04-14,21971.4,22212.231
2018,4,14,2018-04-14,22814.27,23053.046
2018,4,14,2018-04-14,24268.4,24493.275
2018,4,14,2018-04-14,25757.4,26196.192
2018,4,14,2018-04-14,26728.27,27667.454
2018,4,14,2018-04-14,26684.27,28027.961
2018,4,14,2018-04-14,26381.4,27883.519
2018,4,14,2018-04-14,25925.27,27443.339
2018,4,14,2018-04-14,25841.4,27357.655
2018,4,14,2018-04-14,25608.27,27057.011
2018,4,14,2018-04-14,25315.4,26630.025
2018,4,14,2018-04-14,25419.4,26652.165
2018,4,14,2018-04-14,25634.27,26778.556
2018,4,14,2018-04-14,26855.4,27662.98
2018,4,14,2018-04-14,28805.27,29556.58
2018,4,14,2018-04-14,27562.53,28262.167
2018,4,14,2018-04-14,25772.27,26470.452
2018,4,14,2018-04-14,23902.27,24661.252
2018,4,14,2018-04-14,22443.4,23164.513
2018,4,14,2018-04-14,21453.27,22067.228
2018,4,15,2018-04-15,20808.53,21369.536
2018,4,15,2018-04-15,20431.27,20914.802
2018,4,15,2018-04-15,20355.27,20807.118
2018,4,15,2018-04-15,20326.27,20759.023
2018,4,15,2018-04-15,20531.4,20938.937
2018,4,15,2018-04-15,21105.27,21527.249
2018,4,15,2018-04-15,22571.4,22992.905
2018,4,15,2018-04-15,24528.27,25167.283
2018,4,15,2018-04-15,25827.27,26957.186
2018,4,15,2018-04-15,25844.4,27350.198
2018,4,15,2018-04-15,25479.27,27089.478
2018,4,15,2018-04-15,25082.4,26763.224
2018,4,15,2018-04-15,24890.27,26560.628
2018,4,15,2018-04-15,24536.53,26050.674
2018,4,15,2018-04-15,24376.53,25882.74
2018,4,15,2018-04-15,24214.4,25720.11
2018,4,15,2018-04-15,24645.27,26029.408
2018,4,15,2018-04-15,26203.4,27270.129
2018,4,15,2018-04-15,28388.4,29435.442
2018,4,15,2018-04-15,27767.27,28771.021
2018,4,15,2018-04-15,25793.4,26660.22
2018,4,15,2018-04-15,23576.27,24369.396
2018,4,15,2018-04-15,22070.4,22683.438
2018,4,15,2018-04-15,20956.4,21571.523
2018,4,16,2018-04-16,20389.27,20988.359
2018,4,16,2018-04-16,20249.4,20810.917
2018,4,16,2018-04-16,20192.27,20690.529
2018,4,16,2018-04-16,20411.4,20954.419
2018,4,16,2018-04-16,21785.4,22382.476
2018,4,16,2018-04-16,25241.4,25885.071
2018,4,16,2018-04-16,27333.27,28009.678
2018,4,16,2018-04-16,27134.4,27841.269
2018,4,16,2018-04-16,27605.4,28331.788
2018,4,16,2018-04-16,27685.27,28478.294
2018,4,16,2018-04-16,27808.4,28734.017
2018,4,16,2018-04-16,27668.53,28698.096
2018,4,16,2018-04-16,27534.4,28532.567
2018,4,16,2018-04-16,27136.27,28202.56
2018,4,16,2018-04-16,27162.4,28284.257
2018,4,16,2018-04-16,27716.4,28707.026
2018,4,16,2018-04-16,28288.4,29181.499
2018,4,16,2018-04-16,29353.4,30143.763
2018,4,16,2018-04-16,31372.4,31957.288
2018,4,16,2018-04-16,30096.27,30552.643
2018,4,16,2018-04-16,28197.4,28541.844
2018,4,16,2018-04-16,25618.27,25926.307
2018,4,16,2018-04-16,23221.27,23812.5
2018,4,16,2018-04-16,22062.4,22667.331
2018,4,17,2018-04-17,21570.27,22120.244
2018,4,17,2018-04-17,21359.4,21763.816
2018,4,17,2018-04-17,21369.27,21743.696
2018,4,17,2018-04-17,21703.27,22162.169
2018,4,17,2018-04-17,23045.4,23462.683
2018,4,17,2018-04-17,26200.27,26653.449
2018,4,17,2018-04-17,28546.27,29013.754
2018,4,17,2018-04-17,27785.53,28347.214
2018,4,17,2018-04-17,27953.27,28804.441
2018,4,17,2018-04-17,27669.27,28703.77
2018,4,17,2018-04-17,27452.404,28652.443
2018,4,17,2018-04-17,27445.426,28688.664
2018,4,17,2018-04-17,27232.435,28467.897
2018,4,17,2018-04-17,26808.226,28148.849
2018,4,17,2018-04-17,27124.37,28332.227
2018,4,17,2018-04-17,27860.53,28950.419
2018,4,17,2018-04-17,28515.481,29480.092
2018,4,17,2018-04-17,30300.839,30833.364
2018,4,17,2018-04-17,32201.327,32572.961
2018,4,17,2018-04-17,30226.948,30665.666
2018,4,17,2018-04-17,28314.687,28584.149
2018,4,17,2018-04-17,25717.27,25947.815
2018,4,17,2018-04-17,23615.27,23836.517
2018,4,17,2018-04-17,22397.4,22595.285
2018,4,18,2018-04-18,21779.27,22042.973
2018,4,18,2018-04-18,21301.4,21675.633
2018,4,18,2018-04-18,21075.27,21560.851
2018,4,18,2018-04-18,21283.27,21900.578
2018,4,18,2018-04-18,22627.4,23282.305
2018,4,18,2018-04-18,26110.4,26814.712
2018,4,18,2018-04-18,28413.4,29157.798
2018,4,18,2018-04-18,27582.27,28555.281
2018,4,18,2018-04-18,27465.4,28943.164
2018,4,18,2018-04-18,26928.4,28811.319
2018,4,18,2018-04-18,26758.27,29034.745
2018,4,18,2018-04-18,26222.4,28798.043
2018,4,18,2018-04-18,25519.27,28403.98
2018,4,18,2018-04-18,25260.4,28174.438
2018,4,18,2018-04-18,25541.27,28284.98
2018,4,18,2018-04-18,26322.4,28881.741
2018,4,18,2018-04-18,27178.27,29371.078
2018,4,18,2018-04-18,28963.4,30639.626
2018,4,18,2018-04-18,31167.27,32552.301
2018,4,18,2018-04-18,29897.27,31193.221
2018,4,18,2018-04-18,27488.4,28897.919
2018,4,18,2018-04-18,25124.27,26434.76
2018,4,18,2018-04-18,23140.27,24148.977
2018,4,18,2018-04-18,22014.27,22881.989
2018,4,19,2018-04-19,21434.4,22237.936
2018,4,19,2018-04-19,21323.27,21973.066
2018,4,19,2018-04-19,21269.4,21753.765
2018,4,19,2018-04-19,21684.27,22084.167
2018,4,19,2018-04-19,23216.4,23596.543
2018,4,19,2018-04-19,26344.4,26834.333
2018,4,19,2018-04-19,28679.27,29216.046
2018,4,19,2018-04-19,27578.4,28271.583
2018,4,19,2018-04-19,27540.27,28670.27
2018,4,19,2018-04-19,26844.27,28392.224
2018,4,19,2018-04-19,26806.27,28517.731
2018,4,19,2018-04-19,26713.27,28473.48
2018,4,19,2018-04-19,26588.27,28370.198
2018,4,19,2018-04-19,26378.27,28175.743
2018,4,19,2018-04-19,26600.27,28342.661
2018,4,19,2018-04-19,27402.4,29048.224
2018,4,19,2018-04-19,28044.27,29411.139
2018,4,19,2018-04-19,29802.27,30652.339
2018,4,19,2018-04-19,31757.4,32389.503
2018,4,19,2018-04-19,30325.27,30943.477
2018,4,19,2018-04-19,28255.27,28819.642
2018,4,19,2018-04-19,25510.967,26011.166
2018,4,19,2018-04-19,23646.27,24035.512
2018,4,19,2018-04-19,22418.4,22783.631
2018,4,20,2018-04-20,21946.27,22245.192
2018,4,20,2018-04-20,21676.4,21936.598
2018,4,20,2018-04-20,21543.27,21748.82
2018,4,20,2018-04-20,22144.27,22265.161
2018,4,20,2018-04-20,23683.4,23771.07
2018,4,20,2018-04-20,26699.27,26801.771
2018,4,20,2018-04-20,28940.27,29063.667
2018,4,20,2018-04-20,28560.53,28905.173
2018,4,20,2018-04-20,28678.77,29569.852
2018,4,20,2018-04-20,28220.27,29490.398
2018,4,20,2018-04-20,28101.4,29595.573
2018,4,20,2018-04-20,27922.27,29501.226
2018,4,20,2018-04-20,27447.4,29042.903
2018,4,20,2018-04-20,26795.27,28446.238
2018,4,20,2018-04-20,26708.4,28285.108
2018,4,20,2018-04-20,26985.4,28400.459
2018,4,20,2018-04-20,27535.4,28628.545
2018,4,20,2018-04-20,28983.27,29568.964
2018,4,20,2018-04-20,30877.27,31285.051
2018,4,20,2018-04-20,29667.4,30071.408
2018,4,20,2018-04-20,27995.27,28381.782
2018,4,20,2018-04-20,25946.27,26293.896
2018,4,20,2018-04-20,24291.4,24482.387
2018,4,20,2018-04-20,23017.27,23165.076
2018,4,21,2018-04-21,22326.4,22477.343
2018,4,21,2018-04-21,21782.27,21921.091
2018,4,21,2018-04-21,21689.27,21856.548
2018,4,21,2018-04-21,21784.27,21948.039
2018,4,21,2018-04-21,22199.4,22348.1
2018,4,21,2018-04-21,23303.27,23458.371
2018,4,21,2018-04-21,24725.27,24900.209
2018,4,21,2018-04-21,26197.4,26588.969
2018,4,21,2018-04-21,27345.27,28274.564
2018,4,21,2018-04-21,27108.27,28490.271
2018,4,21,2018-04-21,26520.53,28043.491
2018,4,21,2018-04-21,26187.27,27767.282
2018,4,21,2018-04-21,25973.4,27536.243
2018,4,21,2018-04-21,25480.27,27038.539
2018,4,21,2018-04-21,24958.27,26457.778
2018,4,21,2018-04-21,24761.4,26174.124
2018,4,21,2018-04-21,25365.4,26567.563
2018,4,21,2018-04-21,26803.493,27589.992
2018,4,21,2018-04-21,29392.747,30116.786
2018,4,21,2018-04-21,28262.521,28864.978
2018,4,21,2018-04-21,26419.27,26928.876
2018,4,21,2018-04-21,24420.27,24999.508
2018,4,21,2018-04-21,23110.4,23607.095
2018,4,21,2018-04-21,21928.27,22422.057
2018,4,22,2018-04-22,21081.27,21551.808
2018,4,22,2018-04-22,20693.4,21101.347
2018,4,22,2018-04-22,20397.27,20809.351
2018,4,22,2018-04-22,20438.27,20748.998
2018,4,22,2018-04-22,20812.4,21059.518
2018,4,22,2018-04-22,21497.27,21698.422
2018,4,22,2018-04-22,22886.4,23069.65
2018,4,22,2018-04-22,24989.27,25389.341
2018,4,22,2018-04-22,26212.27,27170.37
2018,4,22,2018-04-22,26161.4,27531.773
2018,4,22,2018-04-22,25417.27,26943.925
2018,4,22,2018-04-22,25197.4,26833.588
2018,4,22,2018-04-22,24717.27,26443.206
2018,4,22,2018-04-22,24401.4,26157.894
2018,4,22,2018-04-22,24053.27,25709.634
2018,4,22,2018-04-22,24081.53,25562.071
2018,4,22,2018-04-22,24468.27,25702.684
2018,4,22,2018-04-22,26736.53,27406.275
2018,4,22,2018-04-22,29467.27,29998.953
2018,4,22,2018-04-22,28382.4,28954.459
2018,4,22,2018-04-22,26336.27,26822.34
2018,4,22,2018-04-22,24247.27,24658.075
2018,4,22,2018-04-22,22576.4,22854.569
2018,4,22,2018-04-22,21414.27,21660.563
2018,4,23,2018-04-23,20845.4,21062.805
2018,4,23,2018-04-23,20520.4,20704.829
2018,4,23,2018-04-23,20713.27,20876.49
2018,4,23,2018-04-23,21075.4,21210.009
2018,4,23,2018-04-23,22775.27,22912.907
2018,4,23,2018-04-23,25976.4,26153.407
2018,4,23,2018-04-23,28436.27,28684.445
2018,4,23,2018-04-23,27406.27,27986.836
2018,4,23,2018-04-23,27023.4,28263.844
2018,4,23,2018-04-23,26552.27,28364.621
2018,4,23,2018-04-23,26184.87,28270.613
2018,4,23,2018-04-23,25888.27,28260.983
2018,4,23,2018-04-23,25477.27,28062.457
2018,4,23,2018-04-23,25408.4,28063.491
2018,4,23,2018-04-23,25576.27,28102.423
2018,4,23,2018-04-23,26047.4,28477.33
2018,4,23,2018-04-23,27138.27,29102.416
2018,4,23,2018-04-23,28913.53,30381.976
2018,4,23,2018-04-23,31362.27,32672.203
2018,4,23,2018-04-23,29871.9,31201.853
2018,4,23,2018-04-23,27123.27,28699.192
2018,4,23,2018-04-23,24712.27,26210.445
2018,4,23,2018-04-23,22675.53,23939.167
2018,4,23,2018-04-23,21725.4,22834.2
2018,4,24,2018-04-24,21291.4,22279.49
2018,4,24,2018-04-24,20935.27,21934.32
2018,4,24,2018-04-24,20983.27,22003.984
2018,4,24,2018-04-24,21302.4,22349.149
2018,4,24,2018-04-24,22948.27,23975.059
2018,4,24,2018-04-24,26016.27,26967.563
2018,4,24,2018-04-24,28620.4,29442.68
2018,4,24,2018-04-24,27497.27,28417.69
2018,4,24,2018-04-24,27309.4,28650.462
2018,4,24,2018-04-24,26633.4,28417.447
2018,4,24,2018-04-24,26259.27,28227.895
2018,4,24,2018-04-24,26300.27,28321.92
2018,4,24,2018-04-24,25999.4,28040.418
2018,4,24,2018-04-24,26034.4,28099.909
2018,4,24,2018-04-24,26402.4,28396.5
2018,4,24,2018-04-24,26843.27,28683.684
2018,4,24,2018-04-24,27686.4,29213.836
2018,4,24,2018-04-24,29277.133,30289.459
2018,4,24,2018-04-24,31713.602,32497.857
2018,4,24,2018-04-24,30122.179,30855.489
2018,4,24,2018-04-24,27970.27,28674.618
2018,4,24,2018-04-24,25806.27,26409.535
2018,4,24,2018-04-24,24027.4,24471.864
2018,4,24,2018-04-24,22852.27,23163.651
2018,4,25,2018-04-25,22223.27,22511.274
2018,4,25,2018-04-25,21841.4,22153.579
2018,4,25,2018-04-25,21778.4,22108.111
2018,4,25,2018-04-25,21943.27,22311.279
2018,4,25,2018-04-25,23305.4,23709.869
2018,4,25,2018-04-25,26100.27,26578.617
2018,4,25,2018-04-25,28103.4,28642.677
2018,4,25,2018-04-25,27379.4,28191.213
2018,4,25,2018-04-25,27176.4,28558.612
2018,4,25,2018-04-25,26676.4,28447.065
2018,4,25,2018-04-25,26266.27,28259.336
2018,4,25,2018-04-25,26018.4,28148.488
2018,4,25,2018-04-25,25637.27,28001.438
